cellid , 1,TargetCellId , 6
cellid , 20,TargetCellId , 21
cellid , 2,TargetCellId , 15
cellid , 27,TargetCellId , 10
cellid , 20,TargetCellId , 21
cellid , 13,TargetCellId , 15
cellid , 20,TargetCellId , 19
cellid , 16,TargetCellId , 18
cellid , 15,TargetCellId , 2
cellid , 2,TargetCellId , 3
cellid , 29,TargetCellId , 30
cellid , 31,TargetCellId , 32
cellid , 30,TargetCellId , 28
cellid , 10,TargetCellId , 27
cellid , 17,TargetCellId , 18
cellid , 20,TargetCellId , 19
cellid , 24,TargetCellId , 22
cellid , 4,TargetCellId , 6
cellid , 33,TargetCellId , 31
cellid , 22,TargetCellId , 23
cellid , 18,TargetCellId , 17
cellid , 2,TargetCellId , 15
cellid , 27,TargetCellId , 26
cellid , 32,TargetCellId , 28
cellid , 6,TargetCellId , 4
cellid , 2,TargetCellId , 3
