Cell,neighbors
1,2;3;5;6;18;
2,1;3;13;15;18;
3,1;2;
4,5;6;9;
5,1;4;6;18;
6,1;4;5;
7,8;9;12;24;
8,7;9;
9,4;7;8;
10,11;12;27;
11,7;10;12;24;27;
12,7;10;
13,2;14;15;18;
14,15;30;
15,2;13;14;
16,17;18;33;
17,16;18;33;
18,1;2;5;13;16;17;
19,20;21;23;
20,19;21;
21,5;8;19;20;
22,23;24;27;39;
23,19;22;24;
24,11;22;23;
25,26;27;
26,25;27;37;
27,10;11;22;25;26;
28,29;30;45;
29,28;30;42;
30,14;28;29;
31,32;33;
32,31;33;
33,31;32;
34,35;36;39;
35,34;36;
36,23;34;35;
37,26;38;39;54;
38,37;39;
39,22;37;38;
40,41;42;
41,40;42;57;
42,29;41;
43,44;45;
44,40;43;45;57;
45,28;29;40;43;44;
46,47;48;
47,46;48;
48,46;47;
49,38;50;51;53;66;
50,49;51;
51,38;49;50;
52,53;54;
53,52;54;64;
54,37;38;49;52;53;
55,56;57;72;
56,55;57;
57,40;41;55;56;
58,59;60;
59,58;
60,58;59;
61,50;62;63;
62,58;61;63;73;78;
63,61;62;
64,53;65;66;81;
65,64;66;76;
66,64;65;
67,69;71;84;
68,67;69;
69,56;67;68;
70,59;71;72;87;
71,67;70;72;82;84;
72,55;56;67;70;71;
73,74;75;78;
74,73;75;85;87;
75,59;73;74;
76,65;77;78;80;93;
77,76;78;93;
78,76;77;
79,80;81;
80,76;79;81;91;93;
81,64;65;79;80;
82,83;84;86;
83,82;94;96;
84,67;68;71;82;83;
85,86;87;89;
86,82;85;87;
87,70;71;74;82;85;86;
88,89;90;93;
89,85;88;90;
90,74;85;88;89;
91,80;92;93;
92,91;93;
93,76;77;80;88;91;92;
94,83;95;96;
95,94;96;
96,83;94;95;
